image_id,label,variety,age,is_augmented,source_img
100330.jpg,bacterial_leaf_blight,ADT45,45,False,
100365.jpg,bacterial_leaf_blight,ADT45,45,False,
100382.jpg,bacterial_leaf_blight,ADT45,45,False,
100632.jpg,bacterial_leaf_blight,ADT45,45,False,
101918.jpg,bacterial_leaf_blight,ADT45,45,False,
102353.jpg,bacterial_leaf_blight,ADT45,45,False,
102848.jpg,bacterial_leaf_blight,ADT45,45,False,
103051.jpg,bacterial_leaf_blight,ADT45,45,False,
103702.jpg,bacterial_leaf_blight,ADT45,45,False,
103920.jpg,bacterial_leaf_blight,ADT45,45,False,
106539.jpg,bacterial_leaf_blight,ADT45,45,False,
108320.jpg,bacterial_leaf_blight,ADT45,45,False,
108541.jpg,bacterial_leaf_blight,ADT45,45,False,
100049.jpg,bacterial_leaf_blight,ADT45,50,False,
100541.jpg,bacterial_leaf_blight,ADT45,50,False,
100622.jpg,bacterial_leaf_blight,ADT45,50,False,
100795.jpg,bacterial_leaf_blight,ADT45,50,False,
100967.jpg,bacterial_leaf_blight,ADT45,50,False,
101173.jpg,bacterial_leaf_blight,ADT45,50,False,
101229.jpg,bacterial_leaf_blight,ADT45,50,False,
101425.jpg,bacterial_leaf_blight,ADT45,50,False,
101780.jpg,bacterial_leaf_blight,ADT45,50,False,
101930.jpg,bacterial_leaf_blight,ADT45,50,False,
101973.jpg,bacterial_leaf_blight,ADT45,50,False,
102190.jpg,bacterial_leaf_blight,ADT45,50,False,
102667.jpg,bacterial_leaf_blight,ADT45,50,False,
102726.jpg,bacterial_leaf_blight,ADT45,50,False,
102981.jpg,bacterial_leaf_blight,ADT45,50,False,
103435.jpg,bacterial_leaf_blight,ADT45,50,False,
103734.jpg,bacterial_leaf_blight,ADT45,50,False,
104108.jpg,bacterial_leaf_blight,ADT45,50,False,
104255.jpg,bacterial_leaf_blight,ADT45,50,False,
104702.jpg,bacterial_leaf_blight,ADT45,50,False,
104975.jpg,bacterial_leaf_blight,ADT45,50,False,
105122.jpg,bacterial_leaf_blight,ADT45,50,False,
105273.jpg,bacterial_leaf_blight,ADT45,50,False,
105291.jpg,bacterial_leaf_blight,ADT45,50,False,
105443.jpg,bacterial_leaf_blight,ADT45,50,False,
105662.jpg,bacterial_leaf_blight,ADT45,50,False,
105794.jpg,bacterial_leaf_blight,ADT45,50,False,
106089.jpg,bacterial_leaf_blight,ADT45,50,False,
106339.jpg,bacterial_leaf_blight,ADT45,50,False,
107246.jpg,bacterial_leaf_blight,ADT45,50,False,
108520.jpg,bacterial_leaf_blight,ADT45,50,False,
108673.jpg,bacterial_leaf_blight,ADT45,50,False,
108748.jpg,bacterial_leaf_blight,ADT45,50,False,
108817.jpg,bacterial_leaf_blight,ADT45,50,False,
108868.jpg,bacterial_leaf_blight,ADT45,50,False,
108883.jpg,bacterial_leaf_blight,ADT45,50,False,
109306.jpg,bacterial_leaf_blight,ADT45,50,False,
109332.jpg,bacterial_leaf_blight,ADT45,50,False,
109422.jpg,bacterial_leaf_blight,ADT45,50,False,
109441.jpg,bacterial_leaf_blight,ADT45,50,False,
109514.jpg,bacterial_leaf_blight,ADT45,50,False,
109775.jpg,bacterial_leaf_blight,ADT45,50,False,
109818.jpg,bacterial_leaf_blight,ADT45,50,False,
109950.jpg,bacterial_leaf_blight,ADT45,50,False,
110090.jpg,bacterial_leaf_blight,ADT45,50,False,
110382.jpg,bacterial_leaf_blight,ADT45,50,False,
100289.jpg,bacterial_leaf_blight,ADT45,55,False,
100447.jpg,bacterial_leaf_blight,ADT45,55,False,
100523.jpg,bacterial_leaf_blight,ADT45,55,False,
100548.jpg,bacterial_leaf_blight,ADT45,55,False,
101169.jpg,bacterial_leaf_blight,ADT45,55,False,
101176.jpg,bacterial_leaf_blight,ADT45,55,False,
101187.jpg,bacterial_leaf_blight,ADT45,55,False,
